time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	yaw_ground_truth	yaw_rate_ground_truth	rmse_x	rmse_y	rmse_vx	rmse_vy
1477010444300000	7.31987	0.943005	5.22571	0.163816	0.203165	lidar	2.27687	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	0.120181	0.183051	0.299383	0.0874709	1.86224	0.558175
1477010444350000	7.31987	0.943005	5.22571	0.163816	0.203165	radar	0	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	0.129333	0.189554	0.298281	0.0861571	1.8287	0.549263
1477010444400000	7.8326	0.86921	5.17925	0.0796077	0.0450592	lidar	2.12573	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.138811	0.196027	0.293098	0.0857276	1.79693	0.542589
1477010444450000	7.8326	0.86921	5.17925	0.0796077	0.0450592	radar	0	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	0.148612	0.202468	0.292181	0.0866272	1.76678	0.537284
1477010444500000	8.31653	0.877848	5.1177	0.0655911	0.0176396	lidar	0.418371	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.158735	0.208879	0.287496	0.0888657	1.73806	0.535457
1477010444550000	8.31653	0.877848	5.1177	0.0655911	0.0176396	radar	0	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	0.169179	0.215255	0.287518	0.0932118	1.7107	0.53528
1477010444600000	8.79812	0.979271	5.08336	0.109418	0.0785951	lidar	0.603607	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.179942	0.221599	0.283319	0.0943511	1.68458	0.530901
1477010444650000	8.79812	0.979271	5.08336	0.109418	0.0785951	radar	0	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	0.191022	0.227907	0.284203	0.0975636	1.65963	0.527952
1477010444700000	9.28687	1.04318	5.05901	0.122037	0.0854625	lidar	0.0660275	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.202417	0.234179	0.280399	0.0998473	1.63575	0.525061
1477010444750000	9.28687	1.04318	5.05901	0.122037	0.0854625	radar	0	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	0.214126	0.240414	0.281755	0.104603	1.61287	0.523682
1477010444800000	9.86239	1.25904	5.22693	0.214965	0.207826	lidar	4.98139	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	0.226147	0.246611	0.277921	0.103535	1.59104	0.516585
1477010444850000	9.86239	1.25904	5.22693	0.214965	0.207826	radar	0	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	0.238478	0.252769	0.277205	0.10374	1.57012	0.509968
1477010444900000	10.3306	1.41648	5.16778	0.263038	0.248461	lidar	0.594914	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	0.251116	0.258887	0.273668	0.102432	1.54987	0.503525
1477010444950000	10.3306	1.41648	5.16778	0.263038	0.248461	radar	0	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	0.26406	0.264964	0.273735	0.101946	1.53041	0.497194
1477010445000000	10.7996	1.51238	5.10494	0.265649	0.216671	lidar	0.563373	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	0.277309	0.271	0.270505	0.101036	1.51163	0.491173
1477010445050000	10.7996	1.51238	5.10494	0.265649	0.216671	radar	0	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	0.290859	0.276993	0.271202	0.101661	1.49354	0.485655
1477010445100000	11.3835	1.625	5.26193	0.259913	0.173844	lidar	2.71299	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	0.304708	0.282942	0.268106	0.10134	1.47647	0.480725
1477010445150000	11.3835	1.625	5.26193	0.259913	0.173844	radar	0	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	0.318855	0.288846	0.26676	0.103221	1.46009	0.476643
1477010445200000	11.8549	1.75991	5.20001	0.279636	0.177987	lidar	0.384279	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.333298	0.294705	0.263817	0.103413	1.44407	0.472546
1477010445250000	11.8549	1.75991	5.20001	0.279636	0.177987	radar	0	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	0.348033	0.300517	0.262761	0.106306	1.42866	0.469435
1477010445300000	12.3471	1.85313	5.16648	0.267587	0.133811	lidar	0.414693	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	0.363059	0.306282	0.260031	0.108823	1.4138	0.468761
1477010445350000	12.3471	1.85313	5.16648	0.267587	0.133811	radar	0	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	0.378373	0.311998	0.258801	0.115203	1.39954	0.469596
1477010445400000	12.7567	2.08329	5.05962	0.344834	0.229579	lidar	2.57232	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	0.393973	0.317665	0.256159	0.11599	1.38524	0.465986
1477010445450000	12.7567	2.08329	5.05962	0.344834	0.229579	radar	0	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701	0.409856	0.323282	0.256051	0.120064	1.37142	0.463336
1477010445500000	13.1781	2.32989	5.00899	0.415972	0.301795	lidar	1.07845	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	0.42602	0.328848	0.253671	0.119774	1.35791	0.458864
1477010445550000	13.1781	2.32989	5.00899	0.415972	0.301795	radar	0	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	0.442462	0.334362	0.25442	0.122158	1.34479	0.45484
1477010445600000	13.6933	2.5664	5.1321	0.449506	0.30498	lidar	1.52084	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.459181	0.339823	0.252009	0.121551	1.33211	0.450529
1477010445650000	13.6933	2.5664	5.1321	0.449506	0.30498	radar	0	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.476172	0.34523	0.251577	0.123394	1.31986	0.446475
1477010445700000	14.1624	2.85546	5.19408	0.510044	0.348701	lidar	0.692365	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.493433	0.350583	0.249292	0.122319	1.30787	0.442859
1477010445750000	14.1624	2.85546	5.19408	0.510044	0.348701	radar	0	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	0.510962	0.355881	0.248529	0.122816	1.29628	0.439001
1477010445800000	14.5725	3.0355	5.07024	0.511154	0.300753	lidar	1.91775	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	0.528756	0.361122	0.246343	0.122349	1.28491	0.435196
1477010445850000	14.5725	3.0355	5.07024	0.511154	0.300753	radar	0	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	0.546812	0.366307	0.246012	0.124721	1.2739	0.431772
1477010445900000	15.0019	3.38	5.1341	0.590871	0.373516	lidar	1.2424	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	0.565128	0.371433	0.243922	0.123666	1.26306	0.42869
1477010445950000	15.0019	3.38	5.1341	0.590871	0.373516	radar	0	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	0.583699	0.376501	0.243556	0.124064	1.25254	0.42529
1477010446000000	15.4462	3.73143	5.22697	0.650977	0.405616	lidar	1.03268	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0.602525	0.381509	0.241559	0.12333	1.24223	0.423893
1477010446050000	15.4462	3.73143	5.22697	0.650977	0.405616	radar	0	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	0.6216	0.386458	0.240807	0.122733	1.23223	0.421699
1477010446100000	15.9008	4.02451	5.2675	0.661575	0.360136	lidar	0.477791	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.640923	0.391345	0.239022	0.12205	1.22256	0.419503
1477010446150000	15.9008	4.02451	5.2675	0.661575	0.360136	radar	0	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	0.66049	0.39617	0.237751	0.121548	1.21326	0.416776
1477010446200000	16.3104	4.38965	5.30701	0.713973	0.383832	lidar	0.243565	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.680299	0.400933	0.236116	0.121618	1.20401	0.415678
1477010446250000	16.3104	4.38965	5.30701	0.713973	0.383832	radar	0	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.700345	0.405632	0.234739	0.12076	1.19511	0.413796
1477010446300000	16.6726	4.7228	5.23952	0.753529	0.386851	lidar	0.456876	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.720627	0.410268	0.233094	0.121034	1.1862	0.412335
1477010446350000	16.6726	4.7228	5.23952	0.753529	0.386851	radar	0	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	0.74114	0.414838	0.231875	0.120189	1.17759	0.410224
1477010446400000	17.0184	5.13991	5.26313	0.825794	0.436621	lidar	0.442336	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0.761882	0.419343	0.230235	0.122197	1.16903	0.410669
1477010446450000	17.0184	5.13991	5.26313	0.825794	0.436621	radar	0	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	0.782849	0.423782	0.229192	0.121445	1.16066	0.410101
