time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	yaw_ground_truth	yaw_rate_ground_truth	rmse_x	rmse_y	rmse_vx	rmse_vy
1477010444450000	8.08938	0.782009	5.10116	0.0751287	0.0725981	radar	2.87006	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	0.148612	0.202468	0.313039	0.116559	1.2232	0.379134
1477010444500000	8.08938	0.782009	5.10116	0.0751287	0.0725981	lidar	0	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.158735	0.208879	0.311514	0.122256	1.20331	0.38088
1477010444550000	8.60578	1.0258	5.22167	0.18373	0.209056	radar	5.76118	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	0.169179	0.215255	0.306608	0.120483	1.18442	0.375209
1477010444600000	8.60578	1.0258	5.22167	0.18373	0.209056	lidar	0	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.179942	0.221599	0.305096	0.119436	1.16643	0.369531
1477010444650000	9.19093	1.11358	5.28488	0.194269	0.193193	radar	5.83739	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	0.191022	0.227907	0.300896	0.117852	1.14942	0.364141
1477010444700000	9.19093	1.11358	5.28488	0.194269	0.193193	lidar	0	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.202417	0.234179	0.297968	0.117119	1.13322	0.358906
1477010444750000	9.7408	1.30326	5.33581	0.250002	0.238374	radar	2.34246	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	0.214126	0.240414	0.294577	0.115758	1.1177	0.355981
1477010444800000	9.7408	1.30326	5.33581	0.250002	0.238374	lidar	0	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	0.226147	0.246611	0.291257	0.11419	1.10289	0.352277
1477010444850000	10.2415	1.53977	5.2451	0.32704	0.315637	radar	3.16416	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	0.238478	0.252769	0.28817	0.11599	1.08828	0.356103
1477010444900000	10.2415	1.53977	5.2451	0.32704	0.315637	lidar	0	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	0.251116	0.258887	0.285082	0.115784	1.07424	0.357729
1477010444950000	10.7097	1.74004	5.11681	0.384549	0.366747	radar	2.81821	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	0.26406	0.264964	0.281964	0.120603	1.06114	0.365201
1477010445000000	10.7097	1.74004	5.11681	0.384549	0.366747	lidar	0	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	0.277309	0.271	0.279402	0.122202	1.04844	0.369835
1477010445050000	11.2406	1.76622	5.14013	0.335142	0.255131	radar	2.39524	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	0.290859	0.276993	0.276932	0.122374	1.03589	0.367102
1477010445100000	11.2406	1.76622	5.14013	0.335142	0.255131	lidar	0	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	0.304708	0.282942	0.274126	0.121227	1.02378	0.363652
1477010445150000	11.7021	1.83336	5.05669	0.31992	0.211872	radar	1.80986	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	0.318855	0.288846	0.271577	0.120021	1.01209	0.359496
1477010445200000	11.7021	1.83336	5.05669	0.31992	0.211872	lidar	0	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.333298	0.294705	0.269168	0.118815	1.00078	0.355648
1477010445250000	12.1895	2.03777	5.15286	0.351108	0.214168	radar	1.03068	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	0.348033	0.300517	0.266862	0.118128	0.989884	0.351809
1477010445300000	12.1895	2.03777	5.15286	0.351108	0.214168	lidar	0	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	0.363059	0.306282	0.264525	0.116869	0.979391	0.348075
1477010445350000	12.6944	2.08327	5.18159	0.306693	0.127505	radar	1.91789	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	0.378373	0.311998	0.262709	0.115903	0.96969	0.347306
1477010445400000	12.6944	2.08327	5.18159	0.306693	0.127505	lidar	0	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	0.393973	0.317665	0.260265	0.116672	0.960471	0.348014
1477010445450000	13.1948	2.36201	5.31227	0.361716	0.166723	radar	1.83915	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701	0.409856	0.323282	0.259007	0.11558	0.951934	0.345062
1477010445500000	13.1948	2.36201	5.31227	0.361716	0.166723	lidar	0	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	0.42602	0.328848	0.256529	0.114886	0.943929	0.342924
1477010445550000	13.5177	2.80363	5.15788	0.512267	0.342613	radar	11.9002	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	0.442462	0.334362	0.254143	0.119486	0.934859	0.343362
1477010445600000	13.5177	2.80363	5.15788	0.512267	0.342613	lidar	0	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.459181	0.339823	0.252917	0.120207	0.926006	0.34245
1477010445650000	13.9562	2.98138	5.11265	0.518101	0.315419	radar	0.732022	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.476172	0.34523	0.25061	0.122698	0.917407	0.34059
1477010445700000	13.9562	2.98138	5.11265	0.518101	0.315419	lidar	0	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.493433	0.350583	0.249607	0.122317	0.909029	0.338053
1477010445750000	14.4616	3.09534	5.16351	0.46961	0.205425	radar	1.7872	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	0.510962	0.355881	0.247708	0.121846	0.901334	0.335433
1477010445800000	14.4616	3.09534	5.16351	0.46961	0.205425	lidar	0	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	0.528756	0.361122	0.246051	0.12085	0.894074	0.333526
1477010445850000	14.882	3.50188	5.2724	0.547325	0.252378	radar	2.08307	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	0.546812	0.366307	0.244165	0.124051	0.88677	0.331093
1477010445900000	14.882	3.50188	5.2724	0.547325	0.252378	lidar	0	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	0.565128	0.371433	0.24268	0.123865	0.879898	0.328359
1477010445950000	15.2885	3.89854	5.26138	0.631234	0.331213	radar	1.12293	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	0.583699	0.376501	0.240798	0.131926	0.872575	0.328599
1477010446000000	15.2885	3.89854	5.26138	0.631234	0.331213	lidar	0	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0.602525	0.381509	0.239509	0.134193	0.865534	0.327683
1477010446050000	15.741	4.01538	5.16383	0.59603	0.268818	radar	2.26738	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	0.6216	0.386458	0.237947	0.135649	0.858926	0.325035
1477010446100000	15.741	4.01538	5.16383	0.59603	0.268818	lidar	0	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.640923	0.391345	0.236363	0.134767	0.85275	0.322642
1477010446150000	16.15	4.30487	5.08546	0.640776	0.314485	radar	1.50402	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	0.66049	0.39617	0.23494	0.135944	0.846227	0.320124
1477010446200000	16.15	4.30487	5.08546	0.640776	0.314485	lidar	0	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.680299	0.400933	0.233347	0.134991	0.840057	0.31788
1477010446250000	16.584	4.56581	5.08754	0.648161	0.28592	radar	0.380709	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.700345	0.405632	0.232407	0.135122	0.834219	0.31593
1477010446300000	16.584	4.56581	5.08754	0.648161	0.28592	lidar	0	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.720627	0.410268	0.230693	0.13413	0.828868	0.314641
1477010446350000	16.8978	4.98896	4.98701	0.762247	0.426988	radar	4.22523	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	0.74114	0.414838	0.229308	0.136231	0.822785	0.312496
1477010446400000	16.8978	4.98896	4.98701	0.762247	0.426988	lidar	0	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0.761882	0.419343	0.227855	0.135489	0.816802	0.310228
1477010446450000	17.2779	5.19349	4.89296	0.766243	0.405438	radar	1.48942	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	0.782849	0.423782	0.226676	0.135042	0.810947	0.30827
1477010446500000	17.2779	5.19349	4.89296	0.766243	0.405438	lidar	0	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.804038	0.428154	0.225165	0.134402	0.805281	0.306814
1477010446550000	17.6386	5.38563	4.77012	0.775352	0.400574	radar	2.24914	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	0.825446	0.432459	0.224175	0.133689	0.799689	0.306728
1477010446600000	17.6386	5.38563	4.77012	0.775352	0.400574	lidar	0	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	0.847069	0.436695	0.222661	0.135942	0.794339	0.307662
1477010446650000	17.9233	5.82086	4.77651	0.865439	0.469509	radar	0.846308	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	0.868904	0.440862	0.221419	0.13502	0.789031	0.305995
1477010446700000	17.9233	5.82086	4.77651	0.865439	0.469509	lidar	0	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.890947	0.444959	0.220062	0.135934	0.783753	0.304856
1477010446750000	18.2014	6.29922	4.86121	0.93235	0.467882	radar	1.12355	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0.913195	0.448987	0.218722	0.135456	0.778698	0.302844
1477010446800000	18.2014	6.29922	4.86121	0.93235	0.467882	lidar	0	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0.935644	0.452943	0.217525	0.135095	0.773631	0.300959
1477010446850000	18.456	6.76245	4.90109	0.999431	0.483529	radar	0.267581	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.958291	0.456828	0.216142	0.13543	0.768928	0.299212
1477010446900000	18.456	6.76245	4.90109	0.999431	0.483529	lidar	0	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	0.981133	0.46064	0.215166	0.134661	0.764106	0.297336
1477010446950000	18.7558	7.14769	4.92087	1.005	0.407889	radar	0.84621	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	1.00417	0.46438	0.213888	0.134669	0.759315	0.295473
1477010447000000	18.7558	7.14769	4.92087	1.005	0.407889	lidar	0	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	1.02738	0.468047	0.21275	0.134084	0.754694	0.293694
1477010447050000	18.9285	7.58503	4.87691	1.08806	0.479204	radar	2.95878	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	1.05079	0.47164	0.211478	0.13432	0.750323	0.291979
1477010447100000	18.9285	7.58503	4.87691	1.08806	0.479204	lidar	0	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	1.07437	0.475158	0.210855	0.133682	0.74583	0.290216
1477010447150000	19.197	7.93367	4.83869	1.09346	0.423375	radar	0.552698	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	1.09813	0.478601	0.209596	0.133102	0.741378	0.288564
1477010447200000	19.197	7.93367	4.83869	1.09346	0.423375	lidar	0	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	1.12206	0.481969	0.208675	0.133308	0.737084	0.287112
1477010447250000	19.3909	8.33972	4.82767	1.11954	0.385364	radar	2.26963	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	1.14615	0.48526	0.207465	0.132584	0.732852	0.285684
1477010447300000	19.3909	8.33972	4.82767	1.11954	0.385364	lidar	0	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	1.17042	0.488475	0.206627	0.133371	0.728948	0.284516
1477010447350000	19.5999	8.71223	4.76409	1.15857	0.410526	radar	0.625208	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	1.19484	0.491613	0.20545	0.132689	0.724902	0.283506
1477010447400000	19.5999	8.71223	4.76409	1.15857	0.410526	lidar	0	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	1.21942	0.494673	0.204484	0.135027	0.721231	0.282815
1477010447450000	19.729	9.22387	4.79866	1.23399	0.457135	radar	0.472303	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	1.24416	0.497655	0.203379	0.13428	0.717217	0.281385
1477010447500000	19.729	9.22387	4.79866	1.23399	0.457135	lidar	0	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	1.26904	0.500558	0.202592	0.13553	0.713414	0.280116
1477010447550000	19.8128	9.72338	4.81054	1.31876	0.519012	radar	0.798896	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	1.29407	0.503383	0.201739	0.134875	0.709655	0.278598
1477010447600000	19.8128	9.72338	4.81054	1.31876	0.519012	lidar	0	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	1.31923	0.506127	0.201335	0.135577	0.70583	0.277144
1477010447650000	19.8416	10.399	4.97988	1.3752	0.449005	radar	5.72314	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	1.34454	0.508793	0.201204	0.1373	0.702178	0.276106
1477010447700000	19.8416	10.399	4.97988	1.3752	0.449005	lidar	0	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	1.36998	0.511377	0.201653	0.136582	0.698472	0.274964
1477010447750000	19.8749	10.899	4.9773	1.4487	0.498472	radar	0.904333	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	1.39555	0.513881	0.202244	0.138724	0.695255	0.274038
1477010447800000	19.8749	10.899	4.9773	1.4487	0.498472	lidar	0	20.371	11.0109	20.1663	10.864	0.722256	4.7934	1.42124	0.516304	0.203363	0.138052	0.691762	0.273029
1477010447850000	19.8678	11.5341	5.0925	1.49859	0.447722	radar	2.57739	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	1.44706	0.518645	0.205076	0.144051	0.688618	0.273019
1477010447900000	19.8678	11.5341	5.0925	1.49859	0.447722	lidar	0	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	1.47299	0.520904	0.207191	0.144578	0.685213	0.272901
1477010447950000	19.7372	12.1227	5.14271	1.62831	0.59098	radar	4.94311	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	1.49904	0.523081	0.212352	0.153539	0.684799	0.27328
1477010448000000	19.7372	12.1227	5.14271	1.62831	0.59098	lidar	0	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	1.52519	0.525176	0.217626	0.155575	0.683332	0.2736
1477010448050000	19.8367	12.4877	5.0051	1.59161	0.421526	radar	4.63117	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	1.55145	0.527187	0.22074	0.160261	0.680256	0.272791
1477010448100000	19.8367	12.4877	5.0051	1.59161	0.421526	lidar	0	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	1.57781	0.529115	0.223779	0.160431	0.676981	0.272006
1477010448150000	19.8143	12.9082	4.92392	1.66589	0.521513	radar	2.24146	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	1.60426	0.53096	0.227048	0.163429	0.674386	0.270801
1477010448200000	19.8143	12.9082	4.92392	1.66589	0.521513	lidar	0	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	1.63081	0.532721	0.230002	0.163035	0.671392	0.269638
1477010448250000	19.9287	13.2084	4.76016	1.67868	0.508924	radar	5.40976	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	1.65745	0.534397	0.230856	0.163147	0.668282	0.268454
1477010448300000	19.9287	13.2084	4.76016	1.67868	0.508924	lidar	0	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	1.68417	0.53599	0.231403	0.162506	0.665159	0.267252
1477010448350000	19.8755	13.6608	4.74651	1.71954	0.486846	radar	0.208648	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	1.71097	0.537498	0.232207	0.162377	0.662079	0.266114
1477010448400000	19.8755	13.6608	4.74651	1.71954	0.486846	lidar	0	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	1.73784	0.53892	0.232576	0.161861	0.659101	0.264943
1477010448450000	19.8611	14.0303	4.65652	1.76815	0.522306	radar	1.4153	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	1.76479	0.540258	0.23265	0.161174	0.656099	0.264164
1477010448500000	19.8611	14.0303	4.65652	1.76815	0.522306	lidar	0	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	1.7918	0.54151	0.232307	0.161489	0.653276	0.263256
1477010448550000	19.7486	14.4767	4.65216	1.82156	0.521986	radar	0.140694	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	1.81888	0.542677	0.232448	0.160777	0.650358	0.262496
1477010448600000	19.7486	14.4767	4.65216	1.82156	0.521986	lidar	0	19.781	14.773	19.934	14.6897	-1.30687	4.62805	1.84601	0.543759	0.232073	0.161313	0.647633	0.261581
1477010448650000	19.718	14.7947	4.53118	1.84571	0.488493	radar	1.96967	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	1.8732	0.544754	0.231466	0.161033	0.645063	0.261309
1477010448700000	19.718	14.7947	4.53118	1.84571	0.488493	lidar	0	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	1.90044	0.545663	0.230557	0.163694	0.64297	0.260751
1477010448750000	19.5582	15.2082	4.51406	1.97381	0.697267	radar	9.50572	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	1.92772	0.546486	0.229993	0.16372	0.640249	0.261648
