time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	rmse_x	rmse_y	rmse_vx	rmse_vy
1477010444400000	7.88285	0.788852	5.22877	0.0363245	0.00261364	lidar	0.617342	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.0755301	0.0912141	1.24292	0.650468
1477010444450000	8.13888	0.805027	5.2156	0.0388429	0.00519677	radar	3.18433	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	0.074657	0.095125	1.22224	0.647638
1477010444500000	8.37931	0.824663	5.19872	0.0438409	0.0104546	lidar	0.900101	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.0736181	0.099822	1.20254	0.645712
1477010444550000	8.64073	0.906473	5.20632	0.0761021	0.0430725	radar	6.4309	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	0.0727377	0.101935	1.18381	0.640937
1477010444600000	8.87913	0.965499	5.18949	0.0954481	0.0603973	lidar	1.35995	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.0717237	0.103263	1.1659	0.635461
1477010444650000	9.16205	1.00116	5.21007	0.102318	0.0637898	radar	6.19424	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	0.0712206	0.104974	1.1489	0.630621
1477010444700000	9.40027	1.03663	5.19415	0.109467	0.0677466	lidar	1.07197	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.0704976	0.107183	1.13262	0.626462
1477010444750000	9.67336	1.10182	5.20821	0.126843	0.0802523	radar	4.41622	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	0.0702465	0.108734	1.11709	0.621841
1477010444800000	9.94071	1.22323	5.2183	0.164383	0.10981	lidar	3.63606	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	0.0704724	0.108224	1.1022	0.615282
1477010444850000	10.1974	1.30139	5.21506	0.183201	0.121589	radar	5.08164	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	0.0709157	0.107371	1.0879	0.608576
1477010444900000	10.4273	1.38418	5.1981	0.202798	0.133309	lidar	1.9804	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	0.0708301	0.106263	1.0741	0.601785
1477010444950000	10.6738	1.45856	5.18783	0.217949	0.140871	radar	5.37092	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	0.0707333	0.105104	1.0608	0.595153
1477010445000000	10.9053	1.50245	5.17204	0.221328	0.138224	lidar	1.65078	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	0.0703417	0.10428	1.04801	0.589269
1477010445050000	11.1672	1.55105	5.17798	0.224746	0.135343	radar	1.21471	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	0.0703171	0.103881	1.03576	0.58415
1477010445100000	11.4383	1.607	5.19049	0.229786	0.133746	lidar	1.11001	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	0.0710408	0.103902	1.02408	0.579725
1477010445150000	11.6791	1.66285	5.18002	0.235988	0.133744	radar	1.57152	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	0.0716752	0.104486	1.01284	0.576022
1477010445200000	11.913	1.73365	5.1696	0.246559	0.136874	lidar	0.917141	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.0720746	0.105341	1.002	0.572728
1477010445250000	12.164	1.81367	5.17285	0.258279	0.140337	radar	1.08681	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	0.0727741	0.106293	0.991605	0.569709
1477010445300000	12.4063	1.85843	5.16568	0.258877	0.135809	lidar	0.661969	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	0.0735576	0.108614	0.981669	0.567952
1477010445350000	12.6565	1.91814	5.16673	0.263231	0.133925	radar	0.681284	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	0.0747217	0.112014	0.972207	0.567168
1477010445400000	12.8663	2.04158	5.14955	0.288613	0.147558	lidar	4.93329	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	0.0751136	0.114162	0.962942	0.565509
1477010445450000	13.1205	2.13414	5.15886	0.300512	0.1503	radar	3.3631	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701	0.0760583	0.116406	0.954116	0.564097
1477010445500000	13.3309	2.26681	5.14507	0.326135	0.1632	lidar	4.23942	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	0.0764054	0.117615	0.945466	0.561948
1477010445550000	13.5397	2.38727	5.12653	0.347796	0.17343	radar	13.5665	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	0.0763145	0.1184	0.936992	0.5595
1477010445600000	13.7815	2.50903	5.13199	0.365735	0.179654	lidar	0.902499	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.0765073	0.118878	0.928841	0.556936
1477010445650000	14.0113	2.60918	5.12645	0.377763	0.182103	radar	1.00081	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.0767898	0.119648	0.921009	0.554714
1477010445700000	14.2371	2.76055	5.12837	0.402919	0.192913	lidar	1.95942	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.0771203	0.119678	0.913385	0.551971
1477010445750000	14.4785	2.85981	5.1326	0.411044	0.191501	radar	0.631403	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	0.0779278	0.120138	0.906173	0.549759
1477010445800000	14.6888	2.95976	5.11882	0.421493	0.192457	lidar	2.67028	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	0.0785018	0.121148	0.899251	0.548051
1477010445850000	14.9175	3.08895	5.12152	0.43727	0.196275	radar	4.37169	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	0.079364	0.122104	0.892645	0.546408
1477010445900000	15.1245	3.27067	5.12151	0.467853	0.210124	lidar	3.77001	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	0.0800348	0.122046	0.886114	0.543981
1477010445950000	15.3473	3.40918	5.12146	0.485057	0.215017	radar	3.6061	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	0.0809766	0.121955	0.879846	0.541592
1477010446000000	15.556	3.59592	5.12531	0.51416	0.227094	lidar	3.1801	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0.0818996	0.121281	0.87367	0.538668
1477010446050000	15.7754	3.71772	5.12211	0.524725	0.226883	radar	0.67581	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	0.0831544	0.120863	0.867843	0.536121
1477010446100000	15.9877	3.88019	5.12463	0.545088	0.232783	lidar	0.83343	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.0846366	0.120292	0.862232	0.533483
1477010446150000	16.2009	4.02412	5.12198	0.560942	0.236553	radar	2.7931	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	0.0864559	0.119814	0.85689	0.530983
1477010446200000	16.3951	4.22336	5.12493	0.590084	0.247941	lidar	3.0343	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.0881453	0.118994	0.851586	0.528071
1477010446250000	16.609	4.37024	5.12608	0.603297	0.24864	radar	0.4594	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.0903852	0.118263	0.846626	0.525379
1477010446300000	16.7887	4.55831	5.12142	0.62902	0.25768	lidar	2.56761	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.09224	0.117422	0.841713	0.522495
1477010446350000	16.9765	4.73029	5.11415	0.651575	0.266389	radar	8.56824	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	0.0940755	0.116583	0.836895	0.519564
1477010446400000	17.1428	4.95887	5.11558	0.686081	0.280449	lidar	4.83407	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0.0954257	0.115826	0.831963	0.516283
1477010446450000	17.3305	5.12167	5.10962	0.70277	0.283661	radar	3.11007	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	0.0969616	0.115043	0.827253	0.513126
