time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	rmse_x	rmse_y	rmse_vx	rmse_vy
1477010444400000	7.83585	0.771312	5.58554	-0.11302	-0.956818	lidar	0.506012	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.0863361	0.0993267	1.70272	1.14203
1477010444450000	8.10827	0.785084	5.32004	-0.0872042	-0.658484	radar	1.25401	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	0.0849108	0.103862	1.67454	1.1449
1477010444500000	8.3138	0.820185	4.99674	0.00144247	-0.0973659	lidar	0.37663	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.0837977	0.108182	1.64737	1.13554
1477010444550000	8.56747	1.04112	5.79778	0.419896	1.94473	radar	3.75098	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	0.0827404	0.106531	1.62193	1.14861
1477010444600000	8.79596	1.08729	5.65188	0.410799	1.51321	lidar	0.311358	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.0821841	0.104949	1.59733	1.15481
1477010444650000	9.13595	1.13933	5.82982	0.331415	0.833328	radar	6.85209	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	0.0810877	0.103417	1.57577	1.14865
1477010444700000	9.35474	1.10659	5.18093	0.164149	-0.143404	lidar	1.04928	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.0799296	0.103203	1.55316	1.13255
1477010444750000	9.65142	1.25681	5.80304	0.327952	0.701051	radar	3.54964	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	0.0790775	0.10176	1.53359	1.12426
1477010444800000	9.93955	1.40665	6.17746	0.439865	1.02989	lidar	0.899427	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	0.0790222	0.101595	1.51594	1.13543
1477010444850000	10.1983	1.5849	5.9006	0.590782	1.59861	radar	1.68918	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	0.0792321	0.106132	1.4959	1.17002
1477010444900000	10.3867	1.55034	4.93834	0.387941	0.361334	lidar	2.16523	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	0.0783282	0.10646	1.47785	1.15888
1477010444950000	10.6328	1.65038	5.14173	0.396512	0.333362	radar	0.953259	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	0.0774512	0.107874	1.45956	1.14895
1477010445000000	10.8332	1.5407	4.43066	0.0727429	-1.2211	lidar	1.66989	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	0.0765632	0.106621	1.44367	1.1472
1477010445050000	11.1281	1.52959	5.60054	-0.0460188	-1.443	radar	1.87882	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	0.0757892	0.10664	1.43059	1.16411
1477010445100000	11.4374	1.57871	6.01413	0.0169822	-0.778206	lidar	1.57916	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	0.0763138	0.107329	1.42476	1.17087
1477010445150000	11.6732	1.56654	5.54982	-0.0411761	-0.882232	radar	0.541408	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	0.076631	0.111318	1.41256	1.18971
1477010445200000	11.8643	1.7106	5.09065	0.190434	0.306536	lidar	0.853174	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.0760001	0.112655	1.39708	1.18103
1477010445250000	12.123	1.84546	5.75304	0.35694	0.994773	radar	0.987682	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	0.0756589	0.112618	1.38477	1.16884
1477010445300000	12.3626	1.82484	5.55388	0.214817	0.17268	lidar	0.36112	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	0.0753554	0.115942	1.37356	1.15986
1477010445350000	12.6224	1.86047	5.81891	0.182169	-0.0261113	radar	0.162064	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	0.0755222	0.121462	1.36697	1.15379
1477010445400000	12.761	2.14113	5.43963	0.583715	1.72938	lidar	2.5234	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	0.0747717	0.120919	1.3531	1.15182
